index,Name,Roll no.,OS,DAA,ML,Gender,Total,average,Grade,Status
359,hxbyqwpqti,21CPS1339,36,36,0,F,72,24.0,F,F
360,isxaliwqoj,21CPS1421,25,98,69,M,192,64.0,C,P
361,zlkbnrcoso,21BRS1340,7,13,29,M,49,16.333333333333332,F,F
362,lotuoidpzb,21BRS1500,91,27,16,M,134,44.666666666666664,E,P
363,hxkwbsemof,21CSE1197,47,2,44,F,93,31.0,F,F
364,bukclwxaum,21CSE1587,34,33,31,F,98,32.666666666666664,F,F
365,rvmepqfolu,21BRS1136,51,73,5,M,129,43.0,E,P
366,klahhhhwdx,21CPS1280,30,15,50,M,95,31.666666666666668,F,F
367,ykawsdyvog,21BRS1452,90,91,95,M,276,92.0,S,P
368,ulfjmvikun,21CPS1226,3,60,5,M,68,22.666666666666668,F,F
369,hnxzwxltzo,21CSE1028,37,65,45,M,147,49.0,E,P
370,ogmonbggps,21BAI1380,28,53,64,F,145,48.333333333333336,E,P
371,xmvalnmqdq,21BAI1389,70,89,52,F,211,70.33333333333333,C,P
372,nvkhzjngnu,21BAI1415,91,54,26,M,171,57.0,D,P
373,okkhjermvt,21CSE1065,32,85,95,M,212,70.66666666666667,C,P
374,aelgayylkf,21BRS1084,17,71,90,F,178,59.333333333333336,D,P
375,meraetbpkg,21CSE1127,91,80,53,M,224,74.66666666666667,B,P
376,ctjjsjzcho,21BRS1227,82,38,21,F,141,47.0,E,P
377,yiqbunouri,21CSE1386,99,25,15,M,139,46.333333333333336,E,P
378,uipzrwgnxv,21BRS1319,24,96,89,M,209,69.66666666666667,C,P
379,fjxtnteeds,21CSE1022,60,17,86,F,163,54.333333333333336,D,P
380,fklmdfshwl,21BAI1439,29,36,67,M,132,44.0,E,P
381,lundpharjw,21CPS1573,62,19,35,F,116,38.666666666666664,F,F
382,bgsyxckigi,21BRS1369,0,83,86,M,169,56.333333333333336,D,P
383,ynsyejqeod,21CPS1493,20,19,66,M,105,35.0,F,F
384,woqmprtlyj,21BRS1465,5,19,80,M,104,34.666666666666664,F,F
385,yhtmanllwx,21CPS1277,35,95,98,M,228,76.0,B,P
386,amxywbzstq,21BAI1580,67,22,69,F,158,52.666666666666664,D,P
387,qtwnnuzhob,21CPS1043,15,13,100,M,128,42.666666666666664,E,P
388,vpropjbifq,21BRS1512,83,61,13,M,157,52.333333333333336,D,P
389,biblqgenaq,21BRS1266,83,83,26,F,192,64.0,C,P
390,dhsxpcouol,21CSE1243,76,20,95,F,191,63.666666666666664,C,P
391,qvnjqnpvms,21BAI1235,81,24,47,F,152,50.666666666666664,E,P
392,ifabqkjznu,21CSE1253,40,63,55,M,158,52.666666666666664,D,P
393,tftuasuhec,21BRS1061,78,61,80,M,219,73.0,B,P
394,ilbtkedigx,21BRS1028,36,51,48,F,135,45.0,E,P
395,tjtdzcvstv,21CPS1487,56,50,14,F,120,40.0,F,F
396,gygqfctpzc,21CPS1363,42,58,72,F,172,57.333333333333336,D,P
397,rotidntfzd,21BAI1036,101,23,93,M,217,72.33333333333333,B,P
398,zasrpddhuk,21BRS1012,92,67,52,F,211,70.33333333333333,C,P
399,aiszgsyikk,21BAI1131,46,28,19,F,93,31.0,F,F
400,zrivwwqgvp,21CSE1105,57,56,37,M,150,50.0,E,P
401,aoeeuzelzu,21BRS1468,61,59,22,M,142,47.333333333333336,E,P
402,anyeeiayde,21BRS1045,76,68,100,M,244,81.33333333333333,A,P
403,eojrctkpcp,21BRS1453,12,74,77,M,163,54.333333333333336,D,P
404,pmcjisfzml,21BRS1309,30,90,28,F,148,49.333333333333336,E,P
405,peefqsawcf,21BAI1297,98,9,25,F,132,44.0,E,P
406,xegqjuiwfm,21BAI1211,10,62,37,F,109,36.333333333333336,F,F
407,bmiqtczebp,21BRS1272,33,95,90,F,218,72.66666666666667,B,P
408,wdqbncvbax,21CPS1548,92,36,68,M,196,65.33333333333333,C,P
409,cdrttvwqkp,21BRS1112,11,81,60,F,152,50.666666666666664,E,P
410,dnsqdiyezy,21BAI1244,57,61,15,M,133,44.333333333333336,E,P
411,erknlkpeto,21CSE1130,91,41,35,M,167,55.666666666666664,D,P
412,penbtokvej,21BRS1362,50,30,66,F,146,48.666666666666664,E,P
413,yvfblluxot,21BAI1466,52,37,44,F,133,44.333333333333336,E,P
414,yjsilfmeqh,21BRS1294,13,19,24,F,56,18.666666666666668,F,F
415,cxzgrulptl,21BRS1166,58,54,89,M,201,67.0,C,P
416,pgykbhlekf,21CPS1557,55,1,31,F,87,29.0,F,F
417,eulcqbmomz,21BAI1159,31,38,38,M,107,35.666666666666664,F,F
418,hzggxbeowj,21CPS1027,57,52,82,F,191,63.666666666666664,C,P
419,rxlvcxtdhx,21CPS1260,64,51,57,F,172,57.333333333333336,D,P
420,mcevbjlgpq,21CSE1205,30,96,20,F,146,48.666666666666664,E,P
421,qhrkngwyep,21BAI1313,6,33,44,M,83,27.666666666666668,F,F
422,tmgsegnxma,21BRS1316,82,79,22,F,183,61.0,C,P
423,thrwgvlsjf,21BAI1325,56,88,64,F,208,69.33333333333333,C,P
424,niwkcopavm,21CSE1131,25,41,10,M,76,25.333333333333332,F,F
425,xzbcrivseu,21BRS1570,65,11,41,F,117,39.0,F,F
426,bcdactizwj,21BAI1048,68,40,58,M,166,55.333333333333336,D,P
427,pxqqlqyrlg,21BAI1384,43,4,98,F,145,48.333333333333336,E,P
428,fvguvdlhcm,21BRS1207,96,51,5,M,152,50.666666666666664,E,P
429,uxxfyorwta,21BAI1509,74,58,58,M,190,63.333333333333336,C,P
430,zhsexnlfgf,21BRS1103,45,54,19,F,118,39.333333333333336,F,F
431,olvpvuqdhp,21CPS1576,82,75,53,M,210,70.0,C,P
432,ywmmvouajo,21BAI1002,80,43,0,M,123,41.0,E,P
433,inoyoxrxfl,21CPS1355,51,73,69,F,193,64.33333333333333,C,P
434,vzimskqbxr,21BRS1221,87,83,45,F,215,71.66666666666667,B,P
435,hvefdjhlqk,21CSE1576,99,89,81,M,269,89.66666666666667,A,P
436,cuvdmbupxn,21CPS1532,91,4,26,F,121,40.333333333333336,F,P
437,vasgbkddxy,21CPS1009,34,7,53,F,94,31.333333333333332,F,F
438,uegjotfdnh,21BRS1134,0,59,29,M,88,29.333333333333332,F,F
439,mztytcneye,21CSE1094,1,42,15,M,58,19.333333333333332,F,F
440,tciafyrgzs,21BAI1294,44,19,52,F,115,38.333333333333336,F,F
441,nsdnxrdvvx,21CPS1381,101,99,4,F,204,68.0,C,P
442,nnrdwcakfj,21BAI1321,69,34,40,M,143,47.666666666666664,E,P
443,xsdbhzagrx,21BRS1355,63,4,100,M,167,55.666666666666664,D,P
444,pauvqoxzgf,21CPS1442,67,64,93,M,224,74.66666666666667,B,P
445,mziqlgrfyd,21CSE1174,94,59,61,M,214,71.33333333333333,B,P
446,aaahoyhrnh,21BRS1073,19,27,60,M,106,35.333333333333336,F,F
447,ewlobcrqmt,21CSE1324,94,16,96,F,206,68.66666666666667,C,P
448,uiczyoepok,21CSE1445,61,15,21,F,97,32.333333333333336,F,F
449,atpwuupstx,21BAI1009,31,48,50,F,129,43.0,E,P
450,tpbpxtbtvg,21CSE1277,42,28,35,M,105,35.0,F,F
451,ekgnazomxy,21BAI1130,19,32,86,F,137,45.666666666666664,E,P
452,nmqczupwdi,21BRS1296,37,97,79,F,213,71.0,B,P
453,ifdukbmeaj,21BAI1161,11,63,12,M,86,28.666666666666668,F,F
454,bdyuhfffrl,21BRS1007,94,26,63,M,183,61.0,C,P
455,huevcrwail,21CSE1472,71,35,16,M,122,40.666666666666664,F,P
456,wljiwgmgca,21CPS1481,62,93,20,F,175,58.333333333333336,D,P
457,rxkkpyjwmq,21BAI1197,32,89,14,F,135,45.0,E,P
458,heuoidssvz,21BRS1049,77,60,12,M,149,49.666666666666664,E,P
459,ndcmtekeho,21BAI1240,56,41,13,F,110,36.666666666666664,F,F
460,hwhbabtbii,21BRS1149,17,98,72,M,187,62.333333333333336,C,P
461,eppvxebdjy,21BRS1220,80,15,48,F,143,47.666666666666664,E,P
462,urorzpcqbo,21BAI1003,49,64,33,M,146,48.666666666666664,E,P
463,kqxgnpxvfa,21BAI1268,54,57,14,F,125,41.666666666666664,E,P
464,crzxvycroq,21CSE1530,80,0,36,F,116,38.666666666666664,F,F
465,xrwkpvxqdu,21CSE1409,52,47,80,F,179,59.666666666666664,D,P
466,ijzpgpxgzn,21CPS1496,34,15,4,M,53,17.666666666666668,F,F
467,sxgdemezov,21CSE1124,13,67,11,M,91,30.333333333333332,F,F
468,reqklbgmbw,21CPS1146,82,31,85,M,198,66.0,C,P
469,einkaxkozb,21CSE1527,52,0,5,M,57,19.0,F,F
470,chthxclqsm,21BRS1579,15,85,9,M,109,36.333333333333336,F,F
471,vxzmjvblcs,21CPS1006,70,95,55,M,220,73.33333333333333,B,P
472,qkzqxltume,21BRS1316,2,85,78,M,165,55.0,D,P
473,rxgxtfnvmo,21BRS1521,14,23,58,M,95,31.666666666666668,F,F
474,otvjzsozox,21BRS1254,4,55,2,F,61,20.333333333333332,F,F
475,nqrtjbxzhh,21CPS1348,100,60,28,F,188,62.666666666666664,C,P
476,iyyjmcquly,21CSE1030,27,29,3,F,59,19.666666666666668,F,F
477,miwuuffqgx,21CSE1510,91,34,6,M,131,43.666666666666664,E,P
478,brsdontipx,21BAI1510,82,60,95,F,237,79.0,B,P
479,lklmpikvqt,21BAI1548,59,74,29,M,162,54.0,D,P
480,ilelzuzdkk,21BAI1427,73,84,34,F,191,63.666666666666664,C,P
481,gobshkwuci,21CSE1083,54,3,21,F,78,26.0,F,F
482,ylqueezeqm,21BAI1171,48,69,92,M,209,69.66666666666667,C,P
483,qmtwmbbmiy,21BRS1444,44,77,39,F,160,53.333333333333336,D,P
484,bklpkfircs,21BAI1340,35,27,22,F,84,28.0,F,F
485,dutwxeaxdm,21CSE1584,53,65,17,M,135,45.0,E,P
486,szshrrtjtu,21BAI1488,41,90,57,F,188,62.666666666666664,C,P
487,qjwhhkzwtk,21BRS1355,62,79,18,M,159,53.0,D,P
488,ikeldhbszm,21CSE1567,23,39,38,M,100,33.333333333333336,F,F
489,odadacfqne,21BRS1534,37,93,85,F,215,71.66666666666667,B,P
490,bvwbbtwypp,21CSE1197,87,86,2,M,175,58.333333333333336,D,P
491,hbsnjlohcp,21CPS1068,41,77,66,F,184,61.333333333333336,C,P
492,huginrcmli,21BAI1196,31,43,26,M,100,33.333333333333336,F,F
493,uyypeghnxw,21CPS1287,22,50,42,F,114,38.0,F,F
494,fzazxfgwbw,21BAI1250,32,6,40,F,78,26.0,F,F
495,nagxriipqv,21BRS1264,26,35,96,F,157,52.333333333333336,D,P
496,axkcbcsakt,21BAI1204,74,51,68,M,193,64.33333333333333,C,P
497,ufikfhalkx,21BRS1353,70,77,83,M,230,76.66666666666667,B,P
498,wcvojjkjmi,21CSE1542,2,64,85,M,151,50.333333333333336,E,P
499,fcopiffivz,21CSE1003,92,39,61,F,192,64.0,C,P
500,bzyuostjbs,21CSE1283,18,66,4,F,88,29.333333333333332,F,F
501,lemtfvgwsm,21BAI1449,27,35,79,M,141,47.0,E,P
502,teiqiahmdf,21CSE1317,37,53,83,M,173,57.666666666666664,D,P
503,zzwzdzfcwg,21BRS1439,28,50,99,M,177,59.0,D,P
504,yopexugetd,21BRS1089,25,0,52,F,77,25.666666666666668,F,F
505,qzmgwqkzhj,21CSE1526,4,30,13,F,47,15.666666666666666,F,F
506,myttxzjhnm,21CSE1525,38,30,87,M,155,51.666666666666664,D,P
507,sbtwtzfpzg,21CPS1174,2,52,35,F,89,29.666666666666668,F,F
508,ztqecgmxtc,21BAI1268,91,24,36,F,151,50.333333333333336,E,P
509,ctsyhhvify,21BRS1039,10,47,64,F,121,40.333333333333336,F,P
510,nlmssorwoc,21BAI1216,29,4,6,F,39,13.0,F,F
511,auvolycxyv,21CPS1479,89,26,68,M,183,61.0,C,P
512,tvislopsds,21BAI1272,3,11,79,F,93,31.0,F,F
513,pxwuinwfft,21BAI1451,67,75,40,F,182,60.666666666666664,D,P
514,pfefgsmfvb,21CPS1420,82,54,2,M,138,46.0,E,P
515,mawjuvkzfm,21BRS1174,31,39,51,F,121,40.333333333333336,F,P
516,mxttpjbxkg,21CPS1447,39,47,99,F,185,61.666666666666664,C,P
517,vmbobkkjvs,21BAI1560,89,81,18,M,188,62.666666666666664,C,P
518,bwdpbtjebv,21CSE1533,46,90,61,M,197,65.66666666666667,C,P
519,fknehdxbnx,21BRS1430,60,34,101,M,195,65.0,C,P
520,qdovcyedsk,21CSE1220,18,64,72,F,154,51.333333333333336,D,P
521,ceonqvzcdk,21CPS1458,98,4,49,F,151,50.333333333333336,E,P
522,axzhewpavs,21CPS1376,87,6,18,M,111,37.0,F,F
523,gzsrqcponk,21CPS1458,80,98,82,F,260,86.66666666666667,A,P
524,ihmnfwfhgt,21CPS1456,38,50,86,F,174,58.0,D,P
525,dacnayrofc,21BRS1110,93,15,52,M,160,53.333333333333336,D,P
526,ijaebcbmsj,21CPS1215,48,38,41,F,127,42.333333333333336,E,P
527,nfoiceutfm,21CPS1449,34,58,78,F,170,56.666666666666664,D,P
528,klcjbprtul,21BAI1535,4,39,38,M,81,27.0,F,F
529,advzxajygi,21BRS1164,36,66,33,M,135,45.0,E,P
530,tvjblxyzse,21CPS1173,90,92,70,F,252,84.0,A,P
531,rrwhvvlqsn,21BAI1223,18,13,75,M,106,35.333333333333336,F,F
532,tkuwrjlbct,21CPS1307,78,48,94,M,220,73.33333333333333,B,P
533,apivyztdpj,21BAI1334,10,12,43,F,65,21.666666666666668,F,F
534,ojyfzykkos,21CPS1224,59,26,34,M,119,39.666666666666664,F,F
535,dnbqclxghk,21CSE1149,84,19,16,F,119,39.666666666666664,F,F
536,mllbbgpzfy,21CPS1571,3,75,34,M,112,37.333333333333336,F,F
537,oixeclufbr,21BRS1332,83,38,35,M,156,52.0,D,P
538,aehclexizz,21BRS1347,86,68,77,M,231,77.0,B,P
539,uwucjosukl,21BAI1316,94,96,47,M,237,79.0,B,P
540,bahdubcbia,21CSE1044,77,86,7,M,170,56.666666666666664,D,P
541,vpruzdeizs,21CPS1111,77,96,75,M,248,82.66666666666667,A,P
542,fgrtrvgpbz,21CPS1493,101,84,7,F,192,64.0,C,P
543,zzjtgvaxnn,21BAI1345,88,80,90,M,258,86.0,A,P
544,yxexfafala,21BRS1557,1,13,9,F,23,7.666666666666667,F,F
545,ewadokvsjt,21BAI1218,71,20,40,M,131,43.666666666666664,E,P
546,ztbskgpdrf,21CPS1226,29,71,21,M,121,40.333333333333336,F,P
547,ftbueqdgvo,21BAI1243,33,6,69,F,108,36.0,F,F
548,qbzckhodnw,21BRS1150,57,60,17,F,134,44.666666666666664,E,P
549,bjaiadnmkc,21BAI1309,100,18,73,M,191,63.666666666666664,C,P
550,ystnidtlug,21BAI1191,9,43,86,M,138,46.0,E,P
551,hsojhehggq,21BAI1089,17,56,73,F,146,48.666666666666664,E,P
552,aeizxsjlwm,21CSE1043,91,11,58,M,160,53.333333333333336,D,P
553,ilsxofuusn,21CSE1312,26,50,32,F,108,36.0,F,F
554,ugtxbnkdut,21BAI1300,61,15,46,F,122,40.666666666666664,F,P
555,ntguhilokj,21CPS1412,79,19,19,F,117,39.0,F,F
556,oyihprzoze,21BAI1417,19,63,95,M,177,59.0,D,P
557,jwukrcbkms,21BRS1236,16,24,0,F,40,13.333333333333334,F,F
558,agxlomouti,21CPS1600,78,46,97,M,221,73.66666666666667,B,P
559,gooqjhvvke,21CSE1087,88,64,32,F,184,61.333333333333336,C,P
560,zbozgxacnc,21BAI1272,50,95,51,M,196,65.33333333333333,C,P
561,cvqjjquzxi,21CPS1031,32,62,67,M,161,53.666666666666664,D,P
562,mzwlhfqxyt,21BAI1376,39,37,99,F,175,58.333333333333336,D,P
563,anjwpgnltv,21BRS1384,83,32,48,M,163,54.333333333333336,D,P
564,naxusbejqm,21BRS1513,83,33,91,F,207,69.0,C,P
565,jksegptcli,21CSE1102,75,2,80,M,157,52.333333333333336,D,P
566,kmpuficawo,21BRS1104,24,11,65,M,100,33.333333333333336,F,F
567,xkjwcoiiwi,21CPS1006,89,51,26,M,166,55.333333333333336,D,P
568,xyznsiztfm,21BRS1069,71,33,95,F,199,66.33333333333333,C,P
569,avlzwmeiaw,21CSE1011,5,79,97,M,181,60.333333333333336,D,P
570,jzplpridoz,21BRS1362,72,31,46,M,149,49.666666666666664,E,P
571,lzgmzykbbz,21CPS1279,74,32,23,M,129,43.0,E,P
572,njohgbrthn,21CPS1056,31,3,86,M,120,40.0,F,F
573,yveazclegg,21CSE1522,97,42,48,M,187,62.333333333333336,C,P
574,stqnfzwcct,21CSE1469,66,69,69,M,204,68.0,C,P
575,wxmmwsgjzs,21CSE1079,65,73,30,M,168,56.0,D,P
576,qwzffpbnxb,21CSE1264,3,23,13,M,39,13.0,F,F
577,syvkgijdkb,21BRS1061,26,15,31,M,72,24.0,F,F
578,hzrtdqotnq,21CSE1148,16,88,46,F,150,50.0,E,P
579,imhrhirqrx,21CSE1170,68,42,65,F,175,58.333333333333336,D,P
580,sahophagmt,21BRS1031,50,79,101,F,230,76.66666666666667,B,P
581,ozkdiradgc,21CSE1241,63,82,54,M,199,66.33333333333333,C,P
582,pbvokojsbk,21BRS1047,38,39,29,F,106,35.333333333333336,F,F
583,vvliycnxni,21BAI1036,68,22,101,M,191,63.666666666666664,C,P
584,tlywwekavl,21CSE1276,5,47,57,M,109,36.333333333333336,F,F
585,ykhnzrggco,21CSE1506,58,53,64,M,175,58.333333333333336,D,P
586,yszqyclwjj,21CPS1240,40,44,75,M,159,53.0,D,P
587,hkideidzhq,21BAI1410,25,7,43,F,75,25.0,F,F
588,hdpspdbqvh,21BRS1559,67,41,14,F,122,40.666666666666664,F,P
589,brrebhxkys,21BRS1273,89,42,61,M,192,64.0,C,P
590,xfgiuqqtgt,21BAI1311,15,49,4,M,68,22.666666666666668,F,F
591,grxhtfbelk,21BRS1178,52,50,26,M,128,42.666666666666664,E,P
592,ajwnzguras,21CSE1592,84,89,39,F,212,70.66666666666667,C,P
593,uxhboovmew,21BAI1402,81,39,29,M,149,49.666666666666664,E,P
594,cpdbxgepca,21BRS1249,4,41,84,F,129,43.0,E,P
595,ulxmarfgra,21CSE1296,0,61,9,M,70,23.333333333333332,F,F
596,apufblwdfp,21BRS1257,24,78,80,M,182,60.666666666666664,D,P
597,yriujdcjdl,21CSE1317,44,20,48,F,112,37.333333333333336,F,F
598,mgwpcqyxob,21CSE1087,6,24,38,M,68,22.666666666666668,F,F
599,legscuzmrb,21BRS1300,79,52,36,F,167,55.666666666666664,D,P
600,lbybtifwku,21BRS1117,34,98,68,M,200,66.66666666666667,C,P
601,fwbtsloaos,21CPS1169,48,17,19,M,84,28.0,F,F
602,aumyrnvsxv,21CPS1161,14,74,62,F,150,50.0,E,P
603,wkmqdraoqf,21CSE1569,20,29,20,M,69,23.0,F,F
604,ocgcupeqbm,21BAI1358,52,10,30,M,92,30.666666666666668,F,F
605,bmyiiiuqtd,21BRS1119,30,31,0,F,61,20.333333333333332,F,F
606,jhizrenyaz,21CPS1597,56,40,96,F,192,64.0,C,P
607,cuozxxdnan,21BRS1216,63,35,63,M,161,53.666666666666664,D,P
608,sxhubbukxh,21BRS1207,84,28,70,F,182,60.666666666666664,D,P
609,tnzjawtmuh,21BRS1015,75,67,46,F,188,62.666666666666664,C,P
610,kgosgnvhcx,21CPS1417,7,89,0,M,96,32.0,F,F
611,ovmtiymwag,21CSE1535,16,36,58,M,110,36.666666666666664,F,F
612,qrbefksxpe,21BRS1426,12,51,88,F,151,50.333333333333336,E,P
613,uczhamsjyb,21CSE1174,62,47,42,F,151,50.333333333333336,E,P
614,luirdwtwxq,21CSE1281,67,24,51,F,142,47.333333333333336,E,P
615,catdcmdcoo,21CSE1359,41,36,52,F,129,43.0,E,P
616,lqxqswihrj,21BRS1071,2,83,9,M,94,31.333333333333332,F,F
617,ryplbzrihn,21CPS1329,93,7,87,F,187,62.333333333333336,C,P
618,ewibknfpfc,21CSE1477,101,82,47,M,230,76.66666666666667,B,P
619,qprxvsunsv,21CPS1425,71,87,3,F,161,53.666666666666664,D,P
620,lejdjxezeh,21CSE1425,0,70,60,F,130,43.333333333333336,E,P
621,cafvsnctxe,21BRS1017,57,93,35,F,185,61.666666666666664,C,P
622,hntmkcnyir,21BAI1374,13,16,88,F,117,39.0,F,F
623,ihlzpvqfle,21BRS1159,58,18,19,M,95,31.666666666666668,F,F
624,ataixqrkda,21BRS1560,39,71,88,F,198,66.0,C,P
625,mmxenlskcz,21BAI1381,42,23,8,F,73,24.333333333333332,F,F
626,emssobwsyb,21CSE1187,99,13,29,F,141,47.0,E,P
627,cpukvfuxxz,21CPS1407,3,71,17,M,91,30.333333333333332,F,F
628,cmoclpsgrj,21CPS1283,60,5,4,M,69,23.0,F,F
629,xnthhidpxj,21CSE1451,88,51,31,F,170,56.666666666666664,D,P
630,aowzybjrvf,21BAI1111,65,42,83,M,190,63.333333333333336,C,P
631,dmqcvkizbu,21BRS1333,41,100,88,M,229,76.33333333333333,B,P
632,ccpywjsbzi,21CSE1037,36,52,39,F,127,42.333333333333336,E,P
633,kmjoxklyqu,21CSE1003,18,59,13,F,90,30.0,F,F
634,alwclxojmt,21BAI1275,70,84,78,F,232,77.33333333333333,B,P
635,aslwncwicp,21CPS1490,94,31,21,M,146,48.666666666666664,E,P
636,sciycnhmoh,21CSE1023,45,100,51,M,196,65.33333333333333,C,P
637,emfopylwcy,21CSE1104,82,64,96,M,242,80.66666666666667,B,P
638,yfsyocetpp,21BRS1111,95,78,66,M,239,79.66666666666667,B,P
639,iwsujddezu,21CSE1207,26,56,40,F,122,40.666666666666664,F,P
640,hcdypoqumm,21BAI1467,17,21,3,M,41,13.666666666666666,F,F
641,sarefhjjov,21BAI1418,33,82,17,F,132,44.0,E,P
642,mkcmmyeexl,21BAI1043,52,71,68,F,191,63.666666666666664,C,P
643,mnvxejnqma,21BRS1290,51,92,20,F,163,54.333333333333336,D,P
644,idauxpitpd,21CSE1251,96,51,57,M,204,68.0,C,P
645,dsepesmtai,21BAI1216,35,76,76,M,187,62.333333333333336,C,P
646,seotpxiady,21CPS1160,51,81,12,M,144,48.0,E,P
647,qnzypobjkq,21CSE1033,38,62,1,M,101,33.666666666666664,F,F
648,urmajxtgae,21CSE1557,59,24,43,M,126,42.0,E,P
649,drlmmgcack,21CPS1329,30,48,65,M,143,47.666666666666664,E,P
650,zvcrxebygl,21BRS1563,25,37,56,F,118,39.333333333333336,F,F
651,yhftwksoje,21BAI1446,46,26,21,M,93,31.0,F,F
652,aodcffxmll,21BRS1506,65,32,93,F,190,63.333333333333336,C,P
653,whsqnqcoqq,21BRS1245,35,34,94,F,163,54.333333333333336,D,P
654,osvdgnwwij,21BRS1297,2,23,55,M,80,26.666666666666668,F,F
655,erffxmffrs,21BRS1417,71,31,64,F,166,55.333333333333336,D,P
656,xjfluhlalp,21BRS1438,22,46,83,F,151,50.333333333333336,E,P
657,vrfnegtmhy,21CPS1227,6,44,91,F,141,47.0,E,P
658,xpkqfkshfz,21CSE1369,62,77,54,M,193,64.33333333333333,C,P
659,mxsccdfaib,21CPS1164,83,18,24,M,125,41.666666666666664,E,P
660,sjlawbqqcg,21CSE1206,37,87,31,M,155,51.666666666666664,D,P
661,xefrhcmjlu,21CPS1328,79,48,26,F,153,51.0,D,P
662,yajbrbarek,21BAI1139,23,51,64,M,138,46.0,E,P
663,bgkejbvnjs,21BRS1136,45,28,80,F,153,51.0,D,P
664,hzehmcfdnv,21CSE1014,62,15,69,M,146,48.666666666666664,E,P
665,qgeiqhairw,21CPS1233,94,67,36,M,197,65.66666666666667,C,P
666,aymlptoxce,21CSE1369,90,95,76,F,261,87.0,A,P
667,qrakfyilwo,21CPS1356,95,66,43,M,204,68.0,C,P
668,lfirpinabs,21CSE1128,53,76,39,F,168,56.0,D,P
669,xvxqyxeuvz,21BAI1261,8,97,47,M,152,50.666666666666664,E,P
670,weyygblkwu,21BRS1586,9,19,23,M,51,17.0,F,F
671,gjdvhtnpdt,21BRS1344,8,40,73,M,121,40.333333333333336,F,P
672,jfhmawvkdb,21CPS1590,80,78,12,M,170,56.666666666666664,D,P
673,nsdofyomlx,21BRS1504,90,8,39,F,137,45.666666666666664,E,P
674,wetpojcufr,21CSE1052,26,53,88,M,167,55.666666666666664,D,P
675,mnrvowwbtn,21CSE1112,83,29,67,M,179,59.666666666666664,D,P
676,oklwprqqai,21CSE1021,4,96,11,M,111,37.0,F,F
677,ywirwnkznk,21CPS1502,10,13,0,M,23,7.666666666666667,F,F
678,wigjxxixoi,21CPS1157,21,100,28,F,149,49.666666666666664,E,P
679,hjzhwyzfzo,21BRS1576,31,43,8,F,82,27.333333333333332,F,F
680,ulsltyjsaj,21CPS1537,67,79,37,M,183,61.0,C,P
681,emdihqsnsr,21CSE1540,52,54,3,M,109,36.333333333333336,F,F
682,zaevzggwte,21BRS1238,42,31,72,M,145,48.333333333333336,E,P
683,snuvckkoqo,21BRS1515,17,93,27,M,137,45.666666666666664,E,P
684,rvbyusowum,21CSE1290,83,66,92,M,241,80.33333333333333,B,P
685,uoxdmtpafi,21CPS1270,15,45,32,M,92,30.666666666666668,F,F
686,nzjffbsnxl,21BRS1028,55,68,87,M,210,70.0,C,P
687,oiuyelwphq,21CPS1234,5,48,70,M,123,41.0,E,P
688,mkohfwrprk,21BRS1360,61,63,34,F,158,52.666666666666664,D,P
689,lcrghimgtn,21BRS1147,19,58,70,M,147,49.0,E,P
690,piyxgydews,21CPS1304,71,24,31,M,126,42.0,E,P
691,vgowkiatmn,21BRS1579,96,94,28,F,218,72.66666666666667,B,P
692,rmjxdperna,21CPS1224,53,9,87,M,149,49.666666666666664,E,P
693,vjgzzsfdbm,21BAI1091,31,24,101,M,156,52.0,D,P
694,ncubommuev,21CSE1393,48,93,71,F,212,70.66666666666667,C,P
695,ryewtnmrmn,21BRS1310,41,101,24,M,166,55.333333333333336,D,P
696,nvlsqqodjf,21CPS1159,14,67,42,F,123,41.0,E,P
697,dotdifpgkm,21BAI1274,100,69,55,F,224,74.66666666666667,B,P
698,buhmvstvvx,21BRS1365,0,20,46,F,66,22.0,F,F
699,mwlmopcjsi,21BRS1169,96,73,89,F,258,86.0,A,P
700,tpybdlzpnt,21BAI1554,55,97,69,M,221,73.66666666666667,B,P
701,akdzxvttpf,21CPS1554,96,99,90,F,285,95.0,S,P
702,eqndvvczem,21CSE1098,74,16,95,F,185,61.666666666666664,C,P
703,uuxlfgqbwi,21CSE1354,93,30,57,F,180,60.0,D,P
704,basdyrbzus,21BAI1506,31,29,25,F,85,28.333333333333332,F,F
705,qfvnphmvoe,21CPS1085,60,71,84,M,215,71.66666666666667,B,P
706,iwugqwyaov,21BAI1007,101,71,71,M,243,81.0,A,P
707,gvzlxtajxh,21CSE1453,42,28,52,F,122,40.666666666666664,F,P
708,zijtwsgkqc,21BAI1176,78,99,20,M,197,65.66666666666667,C,P
709,cwngzxvatb,21BRS1137,82,79,87,M,248,82.66666666666667,A,P
710,asndqjzmhv,21CPS1554,4,88,62,M,154,51.333333333333336,D,P
711,fwqxfbdeck,21CPS1028,27,78,11,F,116,38.666666666666664,F,F
712,zfcyotlibh,21CPS1065,43,68,97,F,208,69.33333333333333,C,P
713,iczudvadjc,21CSE1020,86,93,94,M,273,91.0,S,P
714,tnaqfzljrd,21CPS1137,3,76,88,M,167,55.666666666666664,D,P
715,hkkgwrbifr,21BRS1487,7,85,7,F,99,33.0,F,F
716,qvskoxjild,21CSE1587,61,81,14,M,156,52.0,D,P
717,hiuphueaga,21BAI1024,59,88,91,F,238,79.33333333333333,B,P
